Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
281/300,140500,102.99,5.69,0.9,0.89,5.38,-35.37,1.0
282/300,141000,103.44,5.6,0.95,0.92,2.46,-30.83,1.0
283/300,141500,101.74,5.54,0.92,0.91,1.84,-29.3,1.0
284/300,142000,102.83,5.6,0.86,0.72,4.82,-39.21,1.0
285/300,142500,102.97,5.61,0.88,0.94,2.4,-30.01,1.0
286/300,143000,102.76,5.58,0.92,0.89,3.54,-32.6,1.0
287/300,143500,101.87,5.56,0.89,0.92,2.54,-32.4,1.0
288/300,144000,104.26,5.58,0.9,0.94,3.26,-32.06,1.0
289/300,144500,100.99,5.64,0.93,0.85,5.63,-38.07,1.0
290/300,145000,102.66,5.59,0.9,0.85,4.41,-35.23,1.0
291/300,145500,99.91,5.6,0.91,0.88,2.63,-32.28,1.0
292/300,146000,102.68,5.6,0.89,0.89,2.74,-32.01,1.0
293/300,146500,101.28,5.61,0.92,0.9,3.93,-33.21,1.0
294/300,147000,102.55,5.52,0.94,0.93,2.19,-28.76,1.0
295/300,147500,98.87,5.6,0.94,0.89,4.29,-34.45,1.0
296/300,148000,103.88,5.53,0.94,0.91,3.19,-30.78,1.0
297/300,148500,102.43,5.54,0.91,0.91,3.06,-29.31,1.0
298/300,149000,102.09,5.5,0.89,0.85,3.8,-35.65,1.0
299/300,149500,103.84,5.53,0.89,0.91,3.37,-28.39,1.0
300/300,150000,102.42,5.54,0.92,0.89,2.89,-30.8,1.0
