tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: 
control_mode: position
model_path: 
play_epoch: best
epochs: 400
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 20
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7ff6decbfca0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
181/400             90500               120.57              6.43                0.9                 0.87                3.81                -36.8               1.0                 
182/400             91000               121.51              6.45                0.91                0.84                4.72                -38.6               1.0                 
183/400             91500               119.43              6.48                0.93                0.82                4.84                -41.93              1.0                 
184/400             92000               117.58              6.51                0.97                0.84                6.9                 -40.68              1.0                 
185/400             92500               120.52              6.61                0.98                0.94                2.85                -32.22              1.0                 
186/400             93000               120.44              6.48                1.02                0.93                3.78                -36.92              1.0                 
187/400             93500               120.3               6.5                 0.92                0.89                4.97                -37.3               1.0                 
188/400             94000               120.27              6.51                0.9                 0.87                4.48                -39.26              1.0                 
189/400             94500               119.32              6.61                0.93                0.84                6.82                -41.41              1.0                 
190/400             95000               119.92              6.53                0.88                0.87                2.95                -37.3               1.0                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
191/400             95500               122.1               6.45                0.82                0.9                 2.12                -32.18              1.0                 
192/400             96000               119.88              6.56                0.88                0.91                1.95                -33.03              1.0                 
193/400             96500               119.43              6.6                 0.89                0.88                2.17                -32.19              1.0                 
194/400             97000               119.54              6.61                0.98                0.88                4.03                -36.63              1.0                 
195/400             97500               119.23              6.57                0.95                0.9                 2.21                -35.96              1.0                 
196/400             98000               119.01              6.55                1.01                0.82                6.62                -40.07              1.0                 
197/400             98500               117.36              6.49                0.93                0.88                2.74                -34.73              1.0                 
198/400             99000               122.87              6.47                0.95                0.9                 3.34                -34.39              1.0                 
199/400             99500               121.97              6.52                0.97                0.89                3.91                -36.52              1.0                 
200/400             100000              117.96              6.54                1.0                 0.8                 6.51                -41.99              1.0                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
201/400             100500              122.53              6.57                1.0                 0.87                4.01                -36.82              1.0                 
202/400             101000              120.32              6.56                0.93                0.93                2.56                -32.23              1.0                 
203/400             101500              118.7               6.53                0.98                0.9                 4.47                -35.31              1.0                 
204/400             102000              119.38              6.55                0.98                0.86                3.73                -35.27              1.0                 
205/400             102500              120.37              6.55                0.99                0.9                 4.36                -37.49              1.0                 
206/400             103000              120.99              6.55                0.97                0.92                3.48                -33.63              1.0                 
207/400             103500              119.84              6.54                0.95                0.87                3.01                -37.8               1.0                 
208/400             104000              121.85              6.56                1.02                0.89                4.01                -34.29              1.0                 
209/400             104500              120.96              6.67                1.04                0.93                3.56                -33.96              1.0                 
210/400             105000              120.25              6.56                1.02                0.92                2.86                -32.77              1.0                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
211/400             105500              120.05              6.59                1.01                0.85                5.16                -39.83              1.0                 
212/400             106000              122.06              6.55                0.98                0.86                5.67                -37.79              1.0                 
213/400             106500              120.15              6.55                0.96                0.91                2.76                -32.87              1.0                 
214/400             107000              122.62              6.55                0.97                0.85                4.58                -38.63              1.0                 
215/400             107500              124.5               6.57                0.94                0.86                4.57                -37.4               1.0                 
216/400             108000              119.12              6.56                1.01                0.93                4.57                -33.98              1.0                 
217/400             108500              121.53              6.55                0.96                0.86                4.35                -39.58              1.0                 
218/400             109000              121.95              6.68                1.05                0.91                2.74                -35.46              1.0                 
219/400             109500              121.02              6.58                1.04                0.87                4.59                -36.41              1.0                 
220/400             110000              120.52              6.57                0.99                0.88                3.52                -33.98              1.0                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
221/400             110500              118.24              6.58                0.98                0.91                4.73                -35.05              1.0                 
222/400             111000              119.06              6.49                1.01                0.9                 4.22                -34.16              1.0                 
223/400             111500              122.31              6.37                0.8                 0.87                3.28                -37.24              1.0                 
224/400             112000              120.91              6.53                1.02                0.79                4.92                -41.54              1.0                 
225/400             112500              122.46              6.49                1.0                 0.79                4.16                -42.62              1.0                 
226/400             113000              124.09              6.43                0.88                0.88                3.62                -38.27              1.0                 
227/400             113500              121.36              6.47                0.91                0.93                2.91                -31.71              1.0                 
228/400             114000              123.21              6.56                0.95                0.86                6.31                -38.16              1.0                 
229/400             114500              119.39              6.61                0.98                0.89                3.47                -33.64              1.0                 
230/400             115000              123.77              6.58                1.0                 0.84                7.03                -43.78              1.0                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
231/400             115500              120.91              6.68                1.01                0.84                5.57                -40.56              1.0                 
232/400             116000              118.97              6.61                0.97                0.85                5.99                -40.0               1.0                 
233/400             116500              120.65              6.54                0.91                0.86                4.09                -34.95              1.0                 
234/400             117000              122.52              6.62                1.03                0.87                3.04                -36.21              1.0                 
235/400             117500              118.95              6.61                1.04                0.9                 2.86                -33.26              1.0                 
236/400             118000              121.74              6.62                1.0                 0.86                4.49                -40.82              1.0                 
237/400             118500              121.17              6.55                1.03                0.91                3.78                -36.03              1.0                 
238/400             119000              122.45              6.57                0.93                0.89                3.29                -32.98              1.0                 
239/400             119500              124.26              6.48                0.85                0.86                4.02                -40.27              1.0                 
240/400             120000              120.45              6.49                0.87                0.92                4.2                 -37.05              1.0                 


